version_id,language_tag
2779,bpx
3611,bfb
1084,mlp
960,bch
2886,pse
3249,bjk
3575,bjz
994,byr
248,jav
250,jvn
2964,jvn
4402,buj
2826,bsq
2230,ifb
2836,akb
35,btx
34,bts
3808,bts
17,bbc
1945,bgr
4082,bcz
2441,beo
4672,bej
3972,bkv
3501,bkw
3349,bez
3037,bez
1019,bef
4455,egm
3862,bng
2844,bkl
4605,wlv
1591,bom
534,cax
362,cax
2840,bep
4606,bev
3837,btg
3284,bet
4546,btt
2767,bhd
3245,bht
4054,bhi
3712,bhu
2843,bhw
3849,beh
3850,beh
965,big
18,bth
1532,biu
4676,bix
4738,kfs
2768,kfs
409,bzj
2979,blb
2842,bhp
1281,bhl
1748,bim
1838,bim
1407,bhg
975,bon
413,smk
1117,bkd
842,bjr
4613,biy
3052,bfo
1923,bis
1751,bib
1705,bzi
1367,gso
4345,bgl
1121,mux
2602,pcc
3431,bni
4060,bdv
2777,bdv
4364,bvw
3380,bux
1155,bqc
3085,bus
3077,bky
333,bnp
2617,bun
2821,bun
4372,bou
4237,bfw
578,boa
3252,bwo
1382,ksr
2518,bor
172,dtp
3899,bos
4001,bmj
1343,sbl
2545,brb
4347,brb
1799,bre
1231,bre
3393,bre
1984,bre
4588,bre
234,bzd
1358,plw
3528,brv
4358,zbu
4464,jid
3507,buu
3919,buu
1039,buk
1900,bgt
2847,bug
671,sab
2445,bgg
4032,bxh
1005,ape
934,ape
4067,tkb
4641,bzq
2176,bwu
3293,bum
856,bum
2175,bmv
2160,aon
1007,bdd
2338,bns
3816,bui
3942,cmo
1758,cmo
1657,cmo
2536,bwr
1291,bvr
4179,tpv
2304,bds
3084,bqp
243,djk
2381,kyb
4515,bhs
4568,byi
4772,bwd
381,box
3692,bwj
1220,tte
4373,bwc
4239,dri
777,cbv
648,qvc
462,zad
3529,cky
1438,tbk
1128,clu
2226,mcu
1085,kbh
213,cbu
2525,ram
586,kaq
566,cot
1060,caq
533,cbc
237,car
541,cbr
4714,cbr
3508,cbr
540,cbs
1488,cbs
1170,dgc
2838,asc
335,cat
2010,cat
538,cav
2187,ceb
9,ceb
2188,ceb
562,ceb
2379,cam
2849,cns
890,bcl
1157,lbk
1244,agt
751,nch
846,maz
2394,sml
1325,syb
1086,tuf
379,cme
15,ces
44,ces
509,ces
162,ces
535,cbi
235,cao
3794,cho
1927,cho
1539,nri
3285,ccp
4666,cll
4267,cjm
2968,cdh
961,nbc
3036,asa
1129,cbk
544,cbt
793,mih
3230,mrn
3863,cdm
4002,cdm
1630,hne
1097,bem
1068,nya
4767,nya
2972,nya
1618,nya
4491,nya
739,zpv
2711,dig
915,ruf
2375,kde
3684,mgs
3758,mgs
4214,anl
4446,anl
4336,csh
2446,dao
4337,csv
4159,csv
4310,cey
4155,cey
4335,clj
4157,clj
4312,csj
4158,csj
4450,csj
326,csy
3561,ctd
4189,ctd
368,ctd
3231,mwn
217,cle
219,cpa
4334,cjy
4436,cjy
3620,nan
3619,nan
1125,cwe
3781,cwe
3524,chn
4126,ciw
735,maq
32,sna
4498,sna
2262,sna
2245,sna
2248,sna
1960,sna
4046,sna
1931,sna
4664,tog
984,toi
4800,toi
2956,toi
2974,tog
4503,toi
1221,vid
746,zpc
2546,cjk
3434,cjk
3017,ctu
2275,ctu
795,ctu
859,ctu
2128,ctu
2504,ctu
2848,cce
371,crt
524,caa
1541,nct
2497,cje
995,cjv
492,cac
494,cac
437,ncu
3588,cug
3250,cdj
3003,chk
3695,ckl
564,nse
1308,nse
3614,nse
4344,asg
1293,asg
2904,txt
4612,nci
857,zca
713,miz
567,con
1505,kog
4741,liw
565,cof
738,cco
3672,swb
2133,zoc
742,trc
239,crn
2291,cos
3454,cos
1316,mta
752,toc
3461,pov
358,cub
1036,cui
4608,kpc
3331,cuv
394,cym
221,cym
329,cym
287,cym
3394,cym
2101,cym
3563,cym
4374,cym
3099,cym
3183,cym
2737,cym
3693,cym
3006,cym
3900,cym
2588,cym
2618,cym
3071,cym
2736,cym
3395,cym
3086,cym
2000,cym
1363,cym
3960,cym
2590,cym
3011,cym
3012,cym
4531,cym
1364,cym
2801,cym
4678,cym
4684,cym
3009,cym
3343,cym
3376,sms
3596,sms
3030,sjd
3029,sia
2865,kzf
2189,dsh
1153,mps
3933,dbd
977,dgz
4573,dga
2268,dga
2264,dag
2263,dag
3053,dgi
603,crx
2798,dak
2905,uhn
1830,daf
2828,dnj
1831,dnj
2327,bea
1664,bea
354,daa
2851,dni
4281,dnu
4160,dnu
993,aso
20,dan
4555,dan
49,dan
4432,dnv
3789,dnv
4355,dhw
4056,daz
4003,dry
3050,tcc
1514,tcc
1017,dww
4238,dwk
4075,dwr
1672,dwr
4074,dwr
505,dwr
342,dwr
1564,ded
983,ded
2012,mzw
1795,ntr
4673,ntr
343,anv
1583,des
2780,dso
877,deu
4796,deu
4631,deu
51,deu
57,deu
58,deu
2351,deu
65,deu
73,deu
3100,deu
108,deu
158,deu
157,deu
2200,deu
4005,dwz
2614,dhg
1374,dhg
3446,dhn
4055,dhn
1402,nfa
3864,dhi
3387,dhi
471,dhm
1810,luo
2652,luo
3116,dhd
2404,dwy
1326,mbd
839,gud
1890,did
2289,zpg
1511,dur
1010,dis
2021,dks
1800,dks
2945,dib
2822,dib
242,dik
2392,quz
2391,quz
719,xtd
2134,div
3638,dif
4093,dif
244,djr
2403,dji
926,dob
3377,dob
4452,doe
2958,dgo
4308,uya
3966,dre
4039,sce
4451,dde
1033,kqc
4004,dty
3503,dty
880,dow
3530,dub
3948,nke
610,kvn
1312,duo
2573,mvp
2199,dug
4453,duq
4547,dae
3978,ldb
1754,dyu
1728,dyu
3054,dyu
4313,dzn
3902,dnn
1522,rad
2077,omb
3364,omb
1012,kjs
1420,tnp
3314,qve
667,qve
1746,aer
1114,ebk
833,otm
1941,xrb
2674,lpo
2539,igb
3031,ebr
4338,ebg
3935,bin
1297,etr
3257,ekk
3605,ekk
2570,efi
4541,efi
3382,ofu
2667,ego
3865,eip
889,etu
3992,eka
1154,eka
2854,ekg
4339,eki
3383,alf
4454,ekm
3325,lon
4731,emb
3160,cto
3214,cmi
3216,tdc
2770,ebu
2775,ebu
3723,enq
4670,eng
4669,eng
4253,eng
1588,eng
8,eng
12,eng
31,eng
3034,eng
37,eng
392,eng
303,eng
294,eng
1275,eng
42,eng
1713,eng
4124,eng
478,eng
55,eng
2079,eng
4224,eng
406,eng
59,eng
4765,eng
1932,eng
3633,eng
416,eng
431,eng
296,eng
68,eng
69,eng
2163,eng
70,eng
1047,eng
72,eng
1359,eng
1077,eng
1,eng
546,eng
547,eng
90,eng
3345,eng
2660,eng
1171,eng
4540,eng
1365,eng
2593,eng
3051,eng
4754,eng
97,eng
463,eng
100,eng
2692,eng
105,eng
107,eng
110,eng
111,eng
113,eng
114,eng
116,eng
4249,eng
2135,eng
2015,eng
3523,eng
4732,eng
3915,eng
4557,eng
4070,eng
2530,eng
2753,eng
2020,eng
2017,eng
3548,eng
477,eng
1922,eng
3427,eng
3010,eng
314,eng
130,eng
1849,eng
316,eng
2407,eng
1204,eng
206,eng
1209,eng
1207,eng
4108,eng
821,eng
1476,leg
1480,enx
2314,enx
1351,sja
270,sja
3703,myv
1004,mcq
576,ese
2811,ese
3232,ags
1715,spa
222,spa
28,spa
4278,spa
52,spa
411,spa
1845,spa
1846,spa
4212,spa
1076,spa
89,spa
4221,spa
103,spa
753,spa
3539,spa
127,spa
128,spa
2664,spa
3365,spa
197,spa
1782,spa
146,spa
147,spa
1718,spa
149,spa
150,spa
4013,spa
176,spa
178,spa
3291,spa
4069,spa_es
210,spa_es
214,spa_es
53,spa_es
442,spa_es
1637,spa_es
3425,spa_es
841,epo
829,ots
4283,etb
2722,etx
3934,ich
3172,etn
4113,utr
3801,iar
25,eus
56,eus
223,eus
1199,nou
1854,ewo
1600,eza
1613,ewe
3306,ewe
2259,ewe
1428,fai
923,fai
2720,wls
4120,wls
389,cfm
3107,cfm
1869,cfm
4348,cfm
3106,cfm
1427,bjp
2913,fat
2914,fat
3194,gur
1323,gur
956,faa
1902,far
4790,wyy
2196,tgl
2195,tgl
1264,tgl
144,tgl
2197,tgl
399,tgl
177,tgl
4006,fag
2668,fip
3981,fir
1184,ppo
817,fon
813,fon
2178,frd
973,for
504,fra
21,fra
4410,fra
3286,fra
63,fra
62,fra
64,fra
4722,fra
93,fra
104,fra
3877,fra
106,fra
2367,fra
2053,fra
131,fra
133,fra
152,fra
2599,fra
3447,fra
3547,fra
784,zos
3591,frr
906,fub
905,fub
1032,ffm_ltbf
1373,fuq
3093,ffm
1175,ffm
2380,fuh
1159,fuv
2377,fuv_ar
3088,fue
3087,fue
2355,flr
2750,fur
2719,fud
2732,fut
3485,pym
2596,fao
2597,fao
374,fao
2712,gaa
2708,gaa
1436,gdg
3678,gab
3566,gau
2959,gbk
554,gle
3110,gle
4285,gle
2694,gle
2704,gle
883,gle
3117,gle
884,gle
2703,gle
3375,gle
3907,gle_gl
3592,gle_gl
3908,gle_gl
3905,gle_gl
3906,gle_gl
3419,gle_gl
1702,glv
1780,glv
4799,glv
1156,glv
1985,glv
1366,glv
2059,glv
1703,glv
1809,glv
599,smo
1516,smo
2203,smo
1531,gla
1747,gla
1562,gla
1605,gla
2141,gla
1914,gla
1807,gla
2282,gla
1575,gla
1528,gla
2969,glg
4646,gbi
2856,gbi
4579,adl
1534,adl
3504,gbl
434,gmv
4041,gmv
1013,gnb
4231,gga
1504,aeu
1180,pwg
3442,gas
4037,gbm
3164,gbm
3416,grt
1372,wrk
2781,gaq
4516,gou
4130,gyl
4349,gqa
1621,gbr
4607,gbr
2827,bza
4352,gbv
871,gya
868,gya
3847,sxw
4442,drs
3622,gyz
1906,nlg
1709,ghe
4052,ghn
2706,gri
1102,bmk
907,bbj
3773,gid
3774,gid
1120,gid
1201,kik
1202,kik
1622,kik
2926,kik
1741,acd
4314,gix
982,bbr
2207,nyf
3476,swj
2901,toh
2900,toh
3574,tof
3956,glw
4774,kwo
3272,god
3038,gog
3039,gog
2058,ggw
2520,gol
940,gvf
1729,gjn
4044,gof
2344,gof
506,gof
435,gof
1173,gqr
2857,gor
3056,gux
3055,gux
3593,goa
4050,goj
3713,gok
3505,gok
2829,gbo
1055,guh
613,gub
1037,gum
2315,gug
3374,gug
66,gug
805,gug
3146,gug
972,gui
590,gui
1739,gnw
606,gnw
359,gyr
224,gyr
609,gyr
499,guo
1778,gde
3772,gde
4099,gdf
1641,nrf
749,ngu
1660,ngu
953,ghs
2963,gcr
2935,gax
2943,gax
3176,gax
4125,gax
3175,gax
815,gvl
585,gul
2006,gnn
3576,gvs
2405,guw
1837,rub
4737,gpa
2417,gue
2468,gvr
3784,gsl
939,dah
3644,jgk
4458,gwn
2299,gwr
600,gwi
4789,gwi
4667,ade
3498,hdy
2428,ayh
2498,hai
1862,cnh
327,cnh
2408,hak_rom
3612,hlb
4057,hlb
955,hla
1499,hag
3163,wos
2634,lml
3706,hnn
1570,tmd
2766,bgc
4031,mey
2954,had
71,hau
1614,hau
3307,hau_arb
2569,nnd
4408,hav
76,hwc
2709,haw
3040,hay
4232,haz
1149,xed
3402,hbn
3545,scp
1045,heg
3390,her
721,chd
781,azz
820,hin_ro
2633,hif
2092,hmo
587,hix
1863,hmr
1864,hmr
1269,mww
1525,mww
1216,hnj
1726,hnj
2782,hoy
4460,hoo
595,hop
1026,hot
1018,hra
2512,hre
4030,hru
1444,hrv
39,hrv
2475,hrv
1088,qub
670,qvh
720,hub
1347,var
848,hus
698,hus
834,mau
2393,qwh
734,qwh
268,qxn
849,tee
830,hch
2061,hui
2060,hui
4565,hke
4482,nat
3657,hrx
2858,hap
3777,hwo
4357,hwo
2521,jab
2601,iai
1027,yml
968,ian
4750,cen
2514,cen
2434,ibl
171,iba
3936,iby
1322,ivb
2619,ibb
4302,ibn
3991,bec
947,lam
4287,ide
2537,idu
1235,viv
1759,ife
2615,igl
1624,ibo
77,ibo
2538,ige
3066,ikk
3264,run
2944,run
3880,ikz
3274,ntk
241,huv
3473,koq
2696,koq
3937,ikv
1190,ikw
1599,iqw
888,ilb
1310,mbi
3568,qiq
782,ilo
2192,ilo
2191,hil
10,hil
2190,hil
1009,imo
1091,abx
3823,akl
1103,inb
951,ino
4431,int
1946,crj
1947,crj
3061,ikt
1988,ikt
1415,esi
304,esk
1020,ipi
4288,irr
3041,irk
3308,irk
3604,snq
4558,isn
450,nbl
4087,nde
1626,nde
3602,xho
3526,xho
281,xho
282,xho
3846,zul
3500,zul
286,zul
3603,zul
1451,icr
1915,isl
2359,isl
1331,isd
740,mir
3635,zai
824,zai
1654,nhx
1661,nhx
3334,szv
54,ita
1196,ita
1197,ita
3368,ita
122,ita
123,ita
141,ita
4290,itw
4289,itm
1315,ivv
1073,kbm
2413,mzi
1763,ixl
608,ixl
247,ixl
1146,nca
2070,izr
1601,izz
854,maj
3158,jaa
476,jam
775,mxt
894,jra
3656,jra
3909,jra
1973,jra
1903,jaa_jar
3455,jer
2396,jib
348,kac
2647,kac
3866,jul
3689,jit
2238,jit
3396,kaj
1549,csk
3448,wof
3776,jow
4080,jum
4008,jml
1744,bex
2783,juy
3557,quc
657,quc
4570,quc
653,quc
490,quc
2023,gna
2818,ksp
1485,ksp
555,kbp
3256,cwa
4409,kab
3627,dtb
584,kbc
4177,zkd
4329,zkd
2763,kbr
3556,syw
1126,cgc
1508,kki
4473,kzq
629,kgp
611,kgk
1100,kqf
949,cak
530,cak
572,cak
216,cak
902,cak
570,cak
1519,cak
531,cak
489,cak
1768,kkj
3362,keo
1399,mwp
2540,ijn
2253,kqe
1357,kqe
950,kmh
1029,kmh
860,kck
4466,kck
2927,kln
1586,kln
1585,kln
4105,sdh
1298,bco
1236,kbq
3544,kbq
971,kms
2773,kam
2774,kam
2772,kam
3958,ktb
2908,xbr
4559,kcu
4739,kmi
3938,kcq
1410,xla
4178,zkn
4748,zkn
1198,soq
1252,kqw
1137,gam
2962,xnr
2345,moh
2026,moh
1653,moh
3373,moh
1473,wat
987,kmu
1329,kne
3982,kni
2955,kqn
4270,tbx
1354,kpg
1368,kpg
1107,leu
1668,leu
725,kpj
2742,kzr
3645,kyj
997,mjw
4021,krl
4217,kvq
3586,kvq
4284,ghk
4161,ghk
4292,jkm
4162,jkm
1736,pww
4291,jkp
4163,jkp
521,cab
4752,cab
998,yuj
2018,krx
2695,kbn
3661,xsm
1303,xsm
4206,qxq
1566,khs
2494,xtc
4699,kbb
1432,kyu
345,kyu
616,kyz
3650,eky
3649,eky
4085,kys
691,txu
3514,kyv
966,khz
942,bmh
628,kek
543,kek
545,kek
4317,kel
2052,kbo
4250,kem
1158,kyq
918,xkl
388,ken
3118,ker
2758,kxz
1079,cor
1704,cor
4467,kcv
3486,xte
1105,kyg
4787,kgj
4468,kip
4405,kjl
2495,kjl
4470,kjl
3589,kht
1865,kha
2663,kha
1058,kix
548,naq
3494,naq
1958,cnk
4318,kkh
4164,kkh
4617,kkh
1827,kql
4757,beq
812,beq
98,qug
262,qug
264,qvi
3626,qvi
261,qxr
3975,qxr
1815,heh
3282,ked
1491,ktu
2062,kij
810,kia
3248,kia
4469,kiv
2669,kmb
2929,mer
2942,mer
1612,kqp
1489,krj
1226,kdc
3098,zga
2312,zga
1813,nim
395,kin
387,kin
351,kin
430,kin
4638,kin
1371,geb
1892,gil
2542,okr
3369,rim
301,rim
3560,kiu
3976,fkk
3191,xis
948,kje
1811,ksb
4471,ksb
2241,kss
1394,kqs
74,swh
393,swh
2144,swh
1627,swh
4369,swh
2937,swh
2936,swh
3049,swh
1818,swh
1817,swh
164,swh
3048,swh
2484,swh
2921,swc
4086,mkw
1920,tul
1812,vun
3567,kiw
1617,yom
3928,yom
2830,klu
3759,kib
1576,kpw
3990,cdz
3435,ksz
2045,kfa
2350,kpm
1540,trp
4282,ekl
3817,nit
3532,kxp
1299,xbi
1292,xbi
4040,koi
4042,kpv
3509,kmw
1542,kmm
1567,kxw
2423,kfc
2784,kfc
1866,gom
1460,xon
1150,xon
2421,kma
2946,kno
3977,kxc
933,nbe
4119,koo
4240,koo
2387,ozm
2388,ozm
3178,kqy
1574,kpr
1072,kpr
1571,coe
925,bpr
3226,kfp
1109,kze
3004,kos
2646,eko
1139,kyf
2785,kff
4319,kpl
1393,gkp
1395,gkp
500,gkp
1479,xpe
2522,krs
3821,hat
1957,hat
2474,hat
2948,kri
1362,rop
3115,krr
1301,kgf
3295,kdt
4611,kui
4720,kux
1375,gvn
1446,cul
3598,cul
4798,bbu
1441,kdi
2676,kdi
4649,kue
1334,kue
3246,kfy
1028,cuk
240,cuk
2240,kdn
2085,kvg
1067,kup
2256,gup
1178,xuo
996,kto
1287,mkn
2335,key
4753,kpz
4365,krh
2947,knk
1814,kuj
3187,kuj
3188,kuj
2557,kmr
2556,kmr
251,kmr
1948,kmr
4103,kmr
1644,ktm
3165,pkr
4658,xuj
3095,kfi
4273,kru
4366,kru
1867,kru
3752,kus
2771,guz
2925,guz
2940,guz
2071,kub
2666,bfa
4359,khj
3697,cwt
1248,kwd
2531,kwk
4481,mho
3749,mho
4009,kwm
1447,tnk
1164,kwj
1904,kwf
3681,kya
990,kmo
3026,yue
2063,kyc
1396,lbb
786,lac
3243,lac
458,zpl
4294,kvt
4165,kvt
91,lhu
4295,lhu
1603,lhi
2067,lap
3156,lap
2799,lkt
4104,lki
4706,lki
2451,leb
3721,lla
836,cnl
3280,sco
4602,sco
4590,sco
2334,sco
4383,sco
4580,lmn
650,quf
3927,lmy
4154,lai
1607,lai
3304,lme
4449,bma
1024,lmk
3583,lns
2868,ljp
472,laj
1974,laj
4199,lrl
3947,lrl
2470,lro
390,lsi
3378,ltg
823,lat
2154,lot
3842,lot
318,lvs
2406,lav
1669,lvs
3196,lvs
3197,lvs
3195,lvs
488,lvs
2715,llu
4216,clt
2640,clt
4033,lbv
4296,lvi
4740,lbx
2476,lzz
1070,ton
1307,ton
3181,ton
2352,lew
4474,ldk
1497,lgm
3423,lle
2442,lef
3600,cek
1853,cek
552,leh
1606,lww
356,mhx
3674,lhm
109,nia
1537,njn
4321,liz
321,lit
3309,lit
3317,lit
420,lit
419,lit
2382,lik
4320,lie
1238,kpf
252,lif_dev
364,lif
1240,lmp
1274,kmk
1964,lin
2794,lis
3704,olo
1294,loq
3594,lob
2788,lbm
1834,log
2802,log
3554,lbr
3792,loy_dev
3782,loy
1496,khy
3096,llb
1456,lom
3244,ngl
1492,nxd
4394,lnz
1255,uvl
787,tac
825,loz
1169,lex
1494,sop
4534,kcc
2233,knb
2182,lug
1625,lug
2808,lug
1423,lug
2804,lug
1829,lug
2970,lgg
2888,rag
2887,rag
2654,bxk
2658,bxk
2493,lmd
3072,lnd
4476,luj
4053,luj
3090,lun
3305,lun
3946,lga
2916,alz
4198,lrc
4716,lrc
4200,luz
3089,lue
2677,lue
1783,lwo
4077,lyn
559,ach
1772,lee
1380,tod
2872,mhy
2796,mhi
1689,mdy
1688,mdy
3063,mas
3064,mas
3044,mas
1816,mas
3310,mas
324,yua
2687,yua
3893,yua
3025,yua
2697,mfz
1108,mca
3043,jmc
3042,jmc
3311,mcb
633,mcb
3323,mpd
2813,wpc
1090,myy
618,mbc
1802,mda
1099,mmx
3954,grg
2870,mad
908,maf
4071,maf
1282,sgb
3288,mgp
4406,mrd
847,xtm
526,hun
198,hun
26,hun
1239,hun
84,hun
920,hun
3167,mxx
2398,ayz
1406,mzz
2924,zrs
1302,mai
360,mti
3180,mpe
4017,mjz
1143,mcp
2871,mak
1673,mgh
2761,mgh
3013,vmk
3103,plt
396,plt
384,plt
814,plt
873,plt
96,plt
1219,plt
3913,mln
2973,swk
2749,xmm
2690,pmy
3186,xdy
2566,mgq
2505,mlt
654,mam
491,mam
2278,mam
632,mam
561,mam
3765,mam
1327,mmn
1140,myk
383,mqj
2875,mqj
3634,mgm
1756,mgr
1784,maw
1232,mva
3569,mle
3580,tbf
4742,mjl
2769,mjl
3208,mnk
3251,mfv
2074,kby
3119,kml
1089,mmo
761,mqy
2565,mge
1122,mbh
2586,buy
2587,buy
1214,knf
2832,mev
2831,mev
2967,mjv
1246,msk
4708,mns
3640,kxf
3651,kxf
3590,mzj
94,mri
3363,mri
4191,mri
1847,rar
4701,rar
1127,rar
1386,mlh
945,bzh
355,arn
520,arn
3121,sjm
2981,mch
4764,mrh
3662,mrh
1023,nma
855,mpg
4083,mfm
4784,chm
4023,mrj
3702,mhr
2691,mrr
349,dad
1544,nng
3565,rmz
4304,rmz
3652,rmz
4026,mzr
4382,rwr
2184,myx
2183,myx
557,mcn
1222,msb
3953,shr
1247,klv
2205,mfh
3941,mgv
1002,mbt
2360,met
631,mcf
2610,xnz
2489,hlt
3414,hlt
2363,mgw
1376,mph
1405,mhl
612,mbl
285,yan
1348,mfy
2648,mdm
1330,ifu
4203,mzn
4201,mzn
2755,mzn
4202,mzn
3024,vmp
4353,snm
4475,lnb
444,myb
3108,myb
4354,mfo
3388,mfn
4478,mfn
4477,mfn
3474,mdt
1779,gai
4519,xmd
4480,mhd
456,mqb
1835,mbu
4399,mbu
1340,mna
627,mck
4479,mgy
1066,gun
3294,byv
4707,mni
3297,mni
1336,mek
3074,zsm
3073,zsm
4117,zsm
4134,mfx
4133,mfx
1000,med
1345,sim
4520,xmg
1031,mee
3542,tnr
3436,mwv
3572,mcr
4018,mxm
1168,meq
3525,ulk
3235,mgo
2179,mgo
1790,mxv
3120,mtr
2549,tpx
4500,tcf
802,mic
861,zam
1167,mpt
4258,cqd
737,ncl
2852,dnt
2999,mmy
870,mpp
2236,gej
1261,mvn
1061,hto
1764,mwl
1482,mpx
1078,mrg
298,miq
433,miq
774,zaw
826,mco
768,mxq
357,mzl
2130,pxm
3021,pxm
3018,mto
723,mto
3019,mto
254,mks
3999,xta
3443,meh
2995,jmx
745,zpm
3630,mkf
1104,soy
1048,lus
253,lus
4518,mmu
3233,bfm
2237,mfq
3097,old
332,moc
1785,mif
4517,mif
2049,mfg
4621,mwt
4619,mkm
1034,mkl
4022,mdf
1257,mox
4710,mlw
3809,myl
4526,lol
2917,lol
1495,lol
2874,mog
2551,mnh
1868,nmh
3456,mtl
630,mop
4180,mzq
3813,xmz
3312,mfe
3313,mfe
344,mfe
1377,mgc
3057,mos
3058,mos
1217,mos
3344,mtt
3355,mwh
4061,cty
1074,kpx
245,ign
788,ign
1046,nmo
4507,mpa
3973,mpa
3584,mgg
2473,cmr
3337,ukk
3189,udg
958,aoj
952,aoj
523,bmr
2433,moz
2076,kqa
2069,mzm
2642,mwq
3685,mnb
2792,unx
3535,unx
3148,mis
863,mua
2208,mnf
1792,muh
662,myu
2567,mtq
3169,fmu
2383,mur
596,huu
99,tih
4770,mvv
1130,mse
1855,mug
1123,emi
4166,mbe
3094,muv
470,tuc
473,tuc
1142,muy
1342,myw
4100,sur
1789,moa
1148,wmw
2370,mwe
2877,mws
4756,mlv
2951,men
2950,men
1338,nas
1132,naf
4700,mty
452,mbj
4462,jbn
4463,jbn
3340,jbn
4324,nqy
4167,nqy
3335,nag
4581,nag
2786,kfw
4486,nme
4583,nme
2790,nlx
3613,nlx
225,nhe
747,nhe
1725,nsu
366,nhi
1133,nak
1119,ojb
1113,ojb
2880,nlc
1453,nss
3874,nal
4775,nmx
4487,nmq
4592,nmq
1181,nvm
3686,tpj
1445,bjv
331,bjv
2629,npy
1136,nhr
3848,ntm
1908,ntu
4252,nxa
1098,nav
1836,naw
2797,nxq
3726,ncr
2523,ndh
1038,ndj
4484,ndj
1833,nnb
1493,nnb
3767,ndc
1694,ndc
3422,ndd
3996,ndd
3940,dne
2805,ndp
4323,ndw
3994,nbb
1793,ndz
3974,njd
4439,dno
2878,ndx
2574,ndv
4375,nww
1276,nld
3699,nld
4209,nld
1990,nld
75,nld
3932,nld
328,nld
2307,nld
165,nld
3799,nld
3743,nld
428,nsn
1448,nif
2267,anh
3798,tnl
4604,tnl
1457,new
3273,ney
601,gym
4746,nij
4744,nij
4745,nij
2879,nij
2896,szb
516,sba
474,gng
2487,cnw
2920,nga
3582,nge
4299,ngt
3810,nbq
3332,ngj
1674,nnq
1431,niy
373,acn
2621,jgo
3008,nla
4524,ngc
4525,ngc
4527,ngc
1490,ngc
4576,noq
4118,xnj
2789,xnj
4223,dru
1805,dru
1043,ngp
4535,ngp
2564,llp
4622,ngz
3236,ngn
299,nnh
4488,nnh
2803,kdj
2986,yrl
3729,nie
1151,nii
1648,nmw
2881,nlk
367,nin
2535,ncg
3675,num
1486,cag
3475,nzb
4066,nkn
4597,nkn
4300,nkz
255,nko
3995,nbp
4794,jen
943,gaw
1051,njb
4582,njb
3533,noi
4489,noi
1775,lem
647,not
4643,not
1646,snf
461,nhu
